feature,importance,std
theta_alpha_ch16,0.0,0.0
theta_alpha_ch17,0.0,0.0
theta_alpha_ch18,0.0,0.0
theta_alpha_ch19,0.0,0.0
delta_alpha_ch1,0.0,0.0
delta_alpha_ch2,0.0,0.0
delta_alpha_ch3,0.0,0.0
entropy_ch16,0.0,0.0
entropy_ch17,0.0,0.0
delta_alpha_ch5,0.0,0.0
delta_alpha_ch6,0.0,0.0
delta_alpha_ch7,0.0,0.0
delta_alpha_ch8,0.0,0.0
delta_alpha_ch9,0.0,0.0
delta_alpha_ch10,0.0,0.0
delta_alpha_ch11,0.0,0.0
delta_alpha_ch12,0.0,0.0
delta_alpha_ch13,0.0,0.0
delta_alpha_ch14,0.0,0.0
delta_alpha_ch15,0.0,0.0
delta_alpha_ch16,0.0,0.0
delta_alpha_ch17,0.0,0.0
delta_alpha_ch18,0.0,0.0
hjorth_activity_ch12,0.0,0.0
hjorth_activity_ch13,0.0,0.0
entropy_ch2,0.0,0.0
entropy_ch3,0.0,0.0
entropy_ch4,0.0,0.0
entropy_ch5,0.0,0.0
entropy_ch6,0.0,0.0
entropy_ch7,0.0,0.0
theta_abs_ch12,0.0,0.0
entropy_ch9,0.0,0.0
entropy_ch10,0.0,0.0
entropy_ch11,0.0,0.0
entropy_ch12,0.0,0.0
entropy_ch13,0.0,0.0
entropy_ch14,0.0,0.0
entropy_ch15,0.0,0.0
hjorth_complexity_ch18,0.0,0.0
hjorth_complexity_ch19,0.0,0.0
paf_ch1,0.0,0.0
paf_ch2,0.0,0.0
paf_ch3,0.0,0.0
paf_ch4,0.0,0.0
paf_ch5,0.0,0.0
entropy_ch18,0.0,0.0
entropy_ch19,0.0,0.0
hjorth_activity_ch1,0.0,0.0
hjorth_activity_ch2,0.0,0.0
hjorth_activity_ch4,0.0,0.0
alpha_coh_ch4,0.0,0.0
delta_abs_ch5,0.0,0.0
delta_abs_ch16,0.0,0.0
hjorth_activity_ch11,0.0,0.0
hjorth_mobility_ch2,0.0,0.0
alpha_coh_ch19,0.0,0.0
paf_ch17,0.0,0.0
hjorth_mobility_ch6,0.0,0.0
paf_ch18,0.0,0.0
hjorth_mobility_ch9,0.0,0.0
hjorth_mobility_ch11,0.0,0.0
hjorth_complexity_ch9,0.0,0.0
hjorth_complexity_ch10,0.0,0.0
hjorth_complexity_ch11,0.0,0.0
hjorth_complexity_ch12,0.0,0.0
hjorth_complexity_ch13,0.0,0.0
paf_ch19,0.0,0.0
alpha_coh_ch2,0.0,0.0
hjorth_complexity_ch16,0.0,0.0
hjorth_complexity_ch17,0.0,0.0
hjorth_mobility_ch12,0.0,0.0
hjorth_mobility_ch14,0.0,0.0
alpha_coh_ch3,0.0,0.0
hjorth_mobility_ch17,0.0,0.0
hjorth_mobility_ch18,0.0,0.0
hjorth_mobility_ch19,0.0,0.0
hjorth_complexity_ch1,0.0,0.0
hjorth_complexity_ch2,0.0,0.0
delta_abs_ch14,0.0,0.0
delta_abs_ch13,0.0,0.0
delta_abs_ch12,0.0,0.0
hjorth_activity_ch16,0.0,0.0
delta_abs_ch11,0.0,0.0
hjorth_activity_ch18,0.0,0.0
delta_abs_ch10,0.0,0.0
hjorth_mobility_ch1,0.0,0.0
delta_abs_ch1,0.0,0.0
alpha_coh_ch5,0.0,0.0
alpha_coh_ch6,0.0,0.0
alpha_coh_ch7,0.0,0.0
alpha_coh_ch8,0.0,0.0
alpha_coh_ch9,0.0,0.0
alpha_coh_ch10,0.0,0.0
alpha_coh_ch11,0.0,0.0
alpha_coh_ch12,0.0,0.0
alpha_coh_ch13,0.0,0.0
alpha_coh_ch14,0.0,0.0
alpha_coh_ch15,0.0,0.0
alpha_coh_ch16,0.0,0.0
alpha_coh_ch17,0.0,0.0
alpha_coh_ch18,0.0,0.0
delta_abs_ch4,0.0,0.0
delta_abs_ch3,0.0,0.0
delta_abs_ch17,0.0,0.0
delta_abs_ch18,0.0,0.0
delta_abs_ch19,0.0,0.0
theta_abs_ch1,0.0,0.0
theta_abs_ch2,0.0,0.0
theta_abs_ch3,0.0,0.0
theta_abs_ch4,0.0,0.0
theta_abs_ch5,0.0,0.0
theta_abs_ch6,0.0,0.0
theta_abs_ch7,0.0,0.0
